"Search Parameters"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Dy"	"Initial Wave Arrival Hr"	"Initial Wave Arrival Min"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hr"	"Max Wave Arrival Min"	"Max Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.539	95.257	254.594									14.8		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.611	95.39	258.955									16.6		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.479	95.245	248.553									16.7		5														
		"n"	"INDONESIA"	"ACEH"	"ACEH, SUMATRA"	5.479	95.242	248.644									16.7		5														
		"n"	"COMOROS"		"GNAMBO-YAMAORE, MOHELI"	-12.25638	43.67012	6023.276									2.2		5														
		"n"	"COMOROS"		"KOUNGOU, EAST, MAYOTTE"	-12.7348	45.20755	5873.386									2.95		5														
		"n"	"COMOROS"		"MTSAMBORO, MAYOTTE"	-12.69817	45.06762	5887.14									1.25		5														
		"n"	"MEXICO"	"BAJA CALIFORNIA"	"ENSENADA"	31.8484	-116.6181	14827						28	2	22	0.12		2														
		"n"	"FIJI"		"LAUTOKA"	-17.6	177.433	9236.488	27	0	10	23	11	27	14	3	0.05		2														
		"n"	"AUSTRALIA"		"PORT HEDLAND"	-20.316667	118.566667	3604.278	26	8	45	7	46	26	17	35	0.3		2														
		"n"	"SRI LANKA"		"TALAHENA"	7.155	79.828	1826.254									2.3		5														
		"n"	"SRI LANKA"		"MAHASEELAWA BEACH, YALA"	6.292	81.436	1632.702									8.4		5														
		"n"	"UK TERRITORY"		"SIGNY, SOUTH ORKNEY ISLANDS"	-60.717	-45.6	12859.535	26	18	38	17	39				0.26		2														
		"n"	"FRANCE"		"LES SABLES D'OLONNE"	46.496	-1.795	10329.029	27	9	0	32	1				0.29		2														
		"n"	"THAILAND"		"MAKHAM BAY, PHUKET"	7.87	98.417	578.109									1.39		5														
