YYYY MM DD hh mm ss T HEIGHT
2004 01 06 13 45 00 1 3481.619
2004 01 06 14 00 00 1 3481.647
2004 01 06 14 15 00 1 3481.681
2004 01 06 14 30 00 1 3481.719
2004 01 06 14 45 00 1 3481.764
2004 01 06 15 00 00 1 3481.815
2004 01 06 15 15 00 1 3481.872
2004 01 06 15 30 00 1 3481.931
2004 01 06 15 45 00 1 3481.991
2004 01 06 16 00 00 1 3482.058
2004 01 06 16 15 00 1 3482.123
2004 01 06 16 30 00 1 3482.186
2004 01 06 16 45 00 1 3482.247
2004 01 06 17 00 00 1 3482.308
2004 01 06 17 15 00 1 3482.361
2004 01 06 17 30 00 1 3482.407
2004 01 06 17 45 00 1 3482.450
2004 01 06 18 00 00 1 3482.483
2004 01 06 18 15 00 1 3482.512
2004 01 06 18 30 00 1 3482.532
2004 01 06 18 45 00 1 3482.541
2004 01 06 19 00 00 1 3482.535
2004 01 06 19 15 00 1 3482.524
2004 01 06 19 30 00 1 3482.499
2004 01 06 19 45 00 1 3482.461
2004 01 06 20 00 00 1 3482.413
2004 01 06 20 15 00 1 3482.353
2004 01 06 20 30 00 1 3482.288
2004 01 06 20 45 00 1 3482.205
2004 01 06 21 00 00 1 3482.120
2004 01 06 21 15 00 1 3482.023
2004 01 06 21 30 00 1 3481.920
2004 01 06 21 45 00 1 3481.813
2004 01 06 22 00 00 1 3481.700
2004 01 06 22 15 00 1 3481.581
2004 01 06 22 30 00 1 3481.465
2004 01 06 22 45 00 1 3481.344
2004 01 06 23 00 00 1 3481.223
2004 01 06 23 15 00 1 3481.106
2004 01 06 23 30 00 1 3480.992
2004 01 06 23 45 00 1 3480.886
2004 01 07 00 00 00 1 3480.783
2004 01 07 00 15 00 1 3480.692
2004 01 07 00 30 00 1 3480.604
2004 01 07 00 45 00 1 3480.528
2004 01 07 01 00 00 1 3480.463
2004 01 07 01 15 00 1 3480.409
2004 01 07 01 30 00 1 3480.362
2004 01 07 01 45 00 1 3480.333
2004 01 07 02 00 00 1 3480.314
2004 01 07 02 15 00 1 3480.307
2004 01 07 02 30 00 1 3480.320
2004 01 07 02 45 00 1 3480.339
2004 01 07 03 00 00 1 3480.374
2004 01 07 03 15 00 1 3480.423
2004 01 07 03 30 00 1 3480.476
2004 01 07 03 45 00 1 3480.542
2004 01 07 04 00 00 1 3480.616
2004 01 07 04 15 00 1 3480.700
